IP                            Port                          Type                          Anon                          
218.103.60.205                8080                          HTTPS                         1                             
180.118.128.170               9000                          HTTP                          1                             
115.218.216.83                9000                          HTTP                          1                             
122.243.15.34                 9000                          HTTP                          1                             
180.118.247.212               9000                          HTTP                          1                             
117.169.86.169                80                            HTTP                          1                             
115.223.217.92                9000                          HTTP                          1                             
115.223.220.158               9000                          HTTP                          1                             
115.218.126.192               9000                          HTTP                          1                             
42.87.26.70                   8080                          HTTP                          1                             
115.216.174.156               8998                          HTTPS                         1                             
115.223.219.212               9000                          HTTP                          1                             
125.93.148.118                8118                          HTTPS                         1                             
180.118.128.25                9000                          HTTP                          1                             
